Case number,SSID,Form,Location,Survey,Activity,Date,Notes
48799359,48065532 0125,2A,99 BRIDLEWOOD COMMON SW,CENSUS,I/E,,
48800958,48065536 0241,2A,212 BRIDLEWOOD COMMON SW,CENSUS,I/E,,
39412646,48065536 0018,2AL,201 BRIDLEWOOD COMMON SW,CENSUS,I/E,,
39412520,48065536 0238,2AL,200 BRIDLEWOOD COMMON SW,CENSUS,I/E,,
,,,,,,,
48800722,48065536 0077,2A,10 BRIDLEWOOD PK SW,CENSUS,I/E,,
48800628,48065536 0039,2A,69 BRIDLEWOOD PK SW,CENSUS,I/E,,
39412643,48065536 0038,2AL,65 BRIDLEWOOD PK SW,CENSUS,I/E,,
,,,,,,,
39412097,48065532 0183,2AL,94 BRIDLEWOOD MANOR SW,CENSUS,I/E,,
48799270,48065532 0181,2A,90 BRIDLEWOOD MANOR SW,CENSUS,I/E,,
,,,,,,,
48800817,48065536 0100,2A,93 BRIDLEWOOD WAY SW,CENSUS,I/E,,
48799408,48065532 0144,2A,183 BRIDLEWOOD WAY SW,CENSUS,I/E,,
,,,,,,,
48800801,48065536 0112,2A,34 BRIDLEWOOD GROVE SW,CENSUS,I/E,,
48800804,48065536 0113,2A,30 BRIDLEWOOD GROVE SW,CENSUS,I/E,,
,,,,,,,
48800872,48065536 0123,2A,22 BRIDLEWOOD GDNS SW,CENSUS,I/E,,
39412733,48065536 0126,2AL,36 BRIDLEWOOD GDNS SW,CENSUS,I/E,,
,,,,,,,
39412742,48065536 0138,2AL,211 BRIDLEWOOD RD SW,CENSUS,I/E,,
48800713,48065536 0153,2A,151 BRIDLEWOOD RD SW,CENSUS,I/E,,
39411992,48065532 0043,2AL,196 BRIDLEWOOD AVE SW,CENSUS,I/E,,
39412489,48065536 0226,2AL,109 BRIDLEWOOD ST SW,CENSUS,I/E,,
,,,,,,,
,,,,,,,
Case number,SSID,Form,Location,Survey,Activity,Date,Notes
39412308,48065533 0127,2AL,8-8 BRIDLERIDGE MANOR SW,CENSUS,I/E,,
48800758,48065536 0004,2A,70 BRIDLERIDGE CRES SW,CENSUS,I/E,,
48800781,48065536 0007,2A,60 BRIDLERIDGE CRES SW,CENSUS,I/E,,
,,,,,,,
39412518,48065536 0258,2AL,274 BRIDLERIDGE WAY SW,CENSUS,I/E,,
48801005,48065536 0272,2A,218 BRIDLERIDGE WAY SW,CENSUS,I/E,,
39412534,48065536 0274,2AL,210 BRIDLERIDGE WAY SW,CENSUS,I/E,,
39412540,48065536 0278,2AL,194 BRIDLERIDGE WAY SW,CENSUS,I/E,,
48801025,48065536 0279,2A,190 BRIDLERIDGE WAY SW,CENSUS,I/E,,
48800790,48065536 0281,2A,182 BRIDLERIDGE WAY SW,CENSUS,I/E,,
,,,,,,,
48799786,48065533 0468,2A,260 BRIDLERIDGE VIEW SW,CENSUS,I/E,,
48799509,48065533 0064,2A,201 BRIDLERIDGE VIEW SW,CENSUS,I/E,,
48799702,48065533 0416,2A,16 BRIDLERIDGE LANE SW,CENSUS,I/E,,
,,,,,,,
39412484,48065536 0162,2AL,172 BRIDLEPOST GREEN SW,CENSUS,I/E,,
48800874,48065536 0309,2A,83 BRIDLEPOST GREEN SW,CENSUS,I/E,,
39412581,48065536 0310,2AL,87 BRIDLEPOST GREEN SW,CENSUS,I/E,,
,,,,,,,
48799787,48065533 0248,2A,265 BRIDLEMEADOWS COMMON SW,CENSUS,I/E,,
,,,,,,,
48799554,48065533 0006,2A,159 BRIDLE ESTATES MEWS SW,CENSUS,I/E,,
